novel_name,novel_size,updatetime,novel_url,novel_info
系统：从钢铁侠开始逆袭(1-548),4.07 MB,2022-01-02,https://www.trxs.cc/tongren/6500.html, 世界主角都是气运之子，而身为普通人的罗文，则是从绑定系统那天开始一路开挂！
洪荒：杨戬成圣，师傅的我苟不住(1-295),1.83 MB,2022-01-02,https://www.trxs.cc/tongren/6499.html,陈长生穿越到封神世界，绑定系统，收徒就变强。
为何恋爱游戏的女主不太对劲(全本),3.46 MB,2022-01-01,https://www.trxs.cc/tongren/6498.html,（关键词：东京、恋爱、日常、美少女、狗粮、不戾气）
我有一帮亲戚想当火影(1-卷三第53章),1.06 MB,2022-01-01,https://www.trxs.cc/tongren/6497.html,年少时的鸣人每天早上睁眼就能直接看到火影岩上的几张大脸。宇智波信玄家的窗户首先会看到警务部大楼，至于火影岩只能看到个轮廓。
我！超兽冥王，加入聊天群(1-305),1.73 MB,2022-01-01,https://www.trxs.cc/tongren/6496.html,沈星楼有些无语，睡了一觉醒来的他穿越了，穿越成超兽武装世界的冥王。
伊莉雅的万界之旅(全本),1.77 MB,2021-12-31,https://www.trxs.cc/tongren/6495.html,雅丝菲尔・冯・爱因兹贝伦，而且还是五战即将开始的时间。
拷问官小 姐只想摸鱼(1-605),4.56 MB,2021-12-31,https://www.trxs.cc/tongren/6494.html,穿越成了魔王军的魅魔拷问官，咸鱼的罗丝只想在自己的拷问室混混日子、研究美食，但魔王却老是给自己送来什么精灵公主、人类女皇、光明圣女和她的骑士护卫、大贤者之类的超级大佬让自己拷问……
这个选择太棒了(1-566),7.74 MB,2021-12-31,https://www.trxs.cc/tongren/6493.html,陈洛，分手吧！”
在原神当侦探(全本),1.54 MB,2021-12-27,https://www.trxs.cc/tongren/6481.html,在璃月有三件事是公认的：
我，你们的翅膀(至第四卷⊙第14章),2.56 MB,2021-12-27,https://www.trxs.cc/tongren/6364.html,执行任务前，琥珀再三跟系统确认过，任务对象不可能喜欢上自己。
人在食戟，签到十年的我无敌了！(1-226),1.38 MB,2021-12-27,https://www.trxs.cc/tongren/6480.html,林凡穿越到了食戟世界，并在孤儿院长大。
